ID,Target,Question,Choices,Human answer,Correct Answer,Context utterance,Prompt,choices_prob,sentences_prob,choice_win,Generated Text
40,Do you want to play a game?,What is the game?,"['Any', 'Mahjong', 'Laser game', 'Hunger games']",,[1],,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Do you want to play a game?
Question: What is the game?
Choices:

1. Any
2. Mahjong
3. Laser game
4. Hunger games
 The correct answer is:","[('Any', 0.20416264235973358), ('Mahjong', 0.33660727739334106), ('Laser game', 0.27905723452568054), ('Hunger games', 0.1801729053258896)]","[('Any', 0.00026361626805737615), ('Mahjong', 0.3951396644115448), ('Laser game', 0.06450477987527847), ('Hunger games', 0.540091872215271)]",Mahjong,Hunger games
41,Do you want to play a game?,What is the game?,"['Any', 'Mahjong', 'Laser game', 'Hunger games']",,[1],I already played mahjong a little while ago,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Do you want to play a game?
Question: What is the game?
Choices:

1. Any
2. Mahjong
3. Laser game
4. Hunger games
 The correct answer is:","[('Any', 0.20416264235973358), ('Mahjong', 0.33660727739334106), ('Laser game', 0.27905723452568054), ('Hunger games', 0.1801729053258896)]","[('Any', 0.00026361626805737615), ('Mahjong', 0.3951396644115448), ('Laser game', 0.06450477987527847), ('Hunger games', 0.540091872215271)]",Mahjong,Hunger games
42,Do you want to play a game?,What is the game?,"['Mahjong', 'Any', 'Laser game', 'Hunger games']",,[1],I want to play mahjong,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Do you want to play a game?
Question: What is the game?
Choices:

1. Mahjong
2. Any
3. Laser game
4. Hunger games
 The correct answer is:","[('Mahjong', 0.1708984076976776), ('Any', 0.4645500183105469), ('Laser game', 0.1708984076976776), ('Hunger games', 0.19365325570106506)]","[('Mahjong', 0.3951396644115448), ('Any', 0.00026361626805737615), ('Laser game', 0.06450477987527847), ('Hunger games', 0.540091872215271)]",Any,Hunger games
43,Let's find a table and sit down.,Which table?,"['Any', 'The table near the window', 'A round table', 'A surfboard']",,[1],,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Let's find a table and sit down.
Question: Which table?
Choices:

1. Any
2. The table near the window
3. A round table
4. A surfboard
 The correct answer is:","[('Any', 0.15311244130134583), ('The table near the window', 0.4430455267429352), ('A round table', 0.26872068643569946), ('A surfboard', 0.13512125611305237)]","[('Any', 0.0007492966251447797), ('The table near the window', 0.5647480487823486), ('A round table', 0.3881452977657318), ('A surfboard', 0.04635734111070633)]",The table near the window,The table near the window
44,Let's find a table and sit down.,Which table?,"['Any', 'The table near the window', 'A round table', 'A surfboard']",,[1],There are two free tables: the one near the exit and the one near the window,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Let's find a table and sit down.
Question: Which table?
Choices:

1. Any
2. The table near the window
3. A round table
4. A surfboard
 The correct answer is:","[('Any', 0.15311244130134583), ('The table near the window', 0.4430455267429352), ('A round table', 0.26872068643569946), ('A surfboard', 0.13512125611305237)]","[('Any', 0.0007492966251447797), ('The table near the window', 0.5647480487823486), ('A round table', 0.3881452977657318), ('A surfboard', 0.04635734111070633)]",The table near the window,The table near the window
45,Let's find a table and sit down.,Which table?,"['The table near the window', 'Any', 'A round table', 'A surfboard']",,[1],We could sit in the one near the window,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Let's find a table and sit down.
Question: Which table?
Choices:

1. The table near the window
2. Any
3. A round table
4. A surfboard
 The correct answer is:","[('The table near the window', 0.15397849678993225), ('Any', 0.3931978642940521), ('A round table', 0.34699589014053345), ('A surfboard', 0.10582777112722397)]","[('The table near the window', 0.5647480487823486), ('Any', 0.0007492966251447797), ('A round table', 0.3881452977657318), ('A surfboard', 0.04635734111070633)]",Any,The table near the window
46,"If you want to graduated this year, you've got to take a course .",Which course?,"['Any', 'A science course', 'A lifeguard course', 'A driving course']",,[1],,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: If you want to graduated this year, you've got to take a course .
Question: Which course?
Choices:

1. Any
2. A science course
3. A lifeguard course
4. A driving course
 The correct answer is:","[('Any', 0.17783133685588837), ('A science course', 0.2754305303096771), ('A lifeguard course', 0.33223265409469604), ('A driving course', 0.21450552344322205)]","[('Any', 0.004956533201038837), ('A science course', 0.5910831093788147), ('A lifeguard course', 0.3264271020889282), ('A driving course', 0.07753323018550873)]",A lifeguard course,A science course
47,"If you want to graduated this year , you've got to take a course .",Which course?,"['Any', 'A science course', 'A lifeguard course', 'A driving course']",,[1],Science class starts next semester,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: If you want to graduated this year , you've got to take a course .
Question: Which course?
Choices:

1. Any
2. A science course
3. A lifeguard course
4. A driving course
 The correct answer is:","[('Any', 0.15574176609516144), ('A science course', 0.2733353078365326), ('A lifeguard course', 0.3297053277492523), ('A driving course', 0.24121758341789246)]","[('Any', 0.004151108209043741), ('A science course', 0.6160790920257568), ('A lifeguard course', 0.2910151481628418), ('A driving course', 0.08875460922718048)]",A lifeguard course,A science course
48,"If you want to graduated this year , you've got to take a course .",Which course?,"['A science course', 'Any', 'A lifeguard course', 'A driving course']",,[1],The course must be in science,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: If you want to graduated this year , you've got to take a course .
Question: Which course?
Choices:

1. A science course
2. Any
3. A lifeguard course
4. A driving course
 The correct answer is:","[('A science course', 0.12677769362926483), ('Any', 0.501415491104126), ('A lifeguard course', 0.16278576850891113), ('A driving course', 0.20902107656002045)]","[('A science course', 0.6160790920257568), ('Any', 0.004151108209043741), ('A lifeguard course', 0.2910151481628418), ('A driving course', 0.08875460922718048)]",Any,A science course
49,I think I'll write a book .,What kind of book?,"[""I don't know"", 'A novel', 'A dictionary', 'A telephone directory']",,[1],,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I think I'll write a book .
Question: What kind of book?
Choices:

1. I don't know
2. A novel
3. A dictionary
4. A telephone directory
 The correct answer is:","[(""I don't know"", 0.24376912415027618), ('A novel', 0.5847717523574829), ('A dictionary', 0.06984102725982666), ('A telephone directory', 0.10161809623241425)]","[(""I don't know"", 0.9786412119865417), ('A novel', 0.015818262472748756), ('A dictionary', 0.002425809158012271), ('A telephone directory', 0.0031148006673902273)]",A novel,I don't know
50,I think I'll write a book .,What kind of book?,"[""I don't know"", 'A novel', 'A dictionary', 'A telephone directory']",,[1],My favorite books are novels,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I think I'll write a book .
Question: What kind of book?
Choices:

1. I don't know
2. A novel
3. A dictionary
4. A telephone directory
 The correct answer is:","[(""I don't know"", 0.24376912415027618), ('A novel', 0.5847717523574829), ('A dictionary', 0.06984102725982666), ('A telephone directory', 0.10161809623241425)]","[(""I don't know"", 0.9786412119865417), ('A novel', 0.015818262472748756), ('A dictionary', 0.002425809158012271), ('A telephone directory', 0.0031148006673902273)]",A novel,I don't know
51,I think I'll write a book .,What kind of book?,"['A novel', ""I don't know"", 'A dictionary', 'A telephone directory']",,[1],I'd like it to be a novel,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I think I'll write a book .
Question: What kind of book?
Choices:

1. A novel
2. I don't know
3. A dictionary
4. A telephone directory
 The correct answer is:","[('A novel', 0.24575328826904297), (""I don't know"", 0.5202597379684448), ('A dictionary', 0.14905691146850586), ('A telephone directory', 0.08493006974458694)]","[('A novel', 0.015818262472748756), (""I don't know"", 0.9786412119865417), ('A dictionary', 0.002425809158012271), ('A telephone directory', 0.0031148006673902273)]",I don't know,I don't know
52,I would like to find a job,What kind of job?,"['Any', 'A job in the real estate field', 'A full-time job', 'I would like to become president of the United States']",,[1],,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I would like to find a job
Question: What kind of job?
Choices:

1. Any
2. A job in the real estate field
3. A full-time job
4. I would like to become president of the United States
 The correct answer is:","[('Any', 0.3271431028842926), ('A job in the real estate field', 0.22484195232391357), ('A full-time job', 0.34824201464653015), ('I would like to become president of the United States', 0.09977301210165024)]","[('Any', 1.9129784050164744e-06), ('A job in the real estate field', 0.1830310970544815), ('A full-time job', 0.10428798198699951), ('I would like to become president of the United States', 0.7126789689064026)]",A full-time job,I would like to become president of the United States
53,I would like to find a job,What kind of job?,"['Any', 'A job in the real estate field', 'A full-time job', 'I would like to become president of the United States']",,[1],The real estate field is expanding,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I would like to find a job
Question: What kind of job?
Choices:

1. Any
2. A job in the real estate field
3. A full-time job
4. I would like to become president of the United States
 The correct answer is:","[('Any', 0.3271431028842926), ('A job in the real estate field', 0.22484195232391357), ('A full-time job', 0.34824201464653015), ('I would like to become president of the United States', 0.09977301210165024)]","[('Any', 1.9129784050164744e-06), ('A job in the real estate field', 0.1830310970544815), ('A full-time job', 0.10428798198699951), ('I would like to become president of the United States', 0.7126789689064026)]",A full-time job,I would like to become president of the United States
54,I would like to find a job,What kind of job?,"['A job in the real estate field', 'Any', 'A full-time job', 'I would like to become president of the United States']",,[1],I'm a real estate agent,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I would like to find a job
Question: What kind of job?
Choices:

1. A job in the real estate field
2. Any
3. A full-time job
4. I would like to become president of the United States
 The correct answer is:","[('A job in the real estate field', 0.2030884325504303), ('Any', 0.40388956665992737), ('A full-time job', 0.3348361849784851), ('I would like to become president of the United States', 0.05818581208586693)]","[('A job in the real estate field', 0.1830310970544815), ('Any', 1.9129784050164744e-06), ('A full-time job', 0.10428798198699951), ('I would like to become president of the United States', 0.7126789689064026)]",Any,I would like to become president of the United States
55,That guy is a very good musician,What instrument does he play?,"[""I don't know"", 'The violin', 'The horn', 'The bell']",,[1],,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: That guy is a very good musician
Question: What instrument does he play?
Choices:

1. I don't know
2. The violin
3. The horn
4. The bell
 The correct answer is:","[(""I don't know"", 0.12299663573503494), ('The violin', 0.40329042077064514), ('The horn', 0.3343394994735718), ('The bell', 0.13937345147132874)]","[(""I don't know"", 0.9864946603775024), ('The violin', 0.012418135069310665), ('The horn', 0.0008450647001154721), ('The bell', 0.0002421150857117027)]",The violin,I don't know
56,That guy is a very good musician,What instrument does he play?,"[""I don't know"", 'The violin', 'The horn', 'The bell']",,[1],He plays in an orchestra,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: That guy is a very good musician
Question: What instrument does he play?
Choices:

1. I don't know
2. The violin
3. The horn
4. The bell
 The correct answer is:","[(""I don't know"", 0.12299663573503494), ('The violin', 0.40329042077064514), ('The horn', 0.3343394994735718), ('The bell', 0.13937345147132874)]","[(""I don't know"", 0.9864946603775024), ('The violin', 0.012418135069310665), ('The horn', 0.0008450647001154721), ('The bell', 0.0002421150857117027)]",The violin,I don't know
57,That guy is a very good musician,What instrument does he play?,"['The violin', ""I don't know"", 'The horn', 'The bell']",,[1],He is a violinist,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: That guy is a very good musician
Question: What instrument does he play?
Choices:

1. The violin
2. I don't know
3. The horn
4. The bell
 The correct answer is:","[('The violin', 0.20969173312187195), (""I don't know"", 0.4439174234867096), ('The horn', 0.2692495286464691), ('The bell', 0.07714128494262695)]","[('The violin', 0.012418135069310665), (""I don't know"", 0.9864946603775024), ('The horn', 0.0008450647001154721), ('The bell', 0.0002421150857117027)]",I don't know,I don't know
58,Why don't you come round for a meal one evening next week?,What meal?,"['Any', 'The lunch', 'The breakfast', 'Christmas lunch']",,[1],,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Why don't you come round for a meal one evening next week?
Question: What meal?
Choices:

1. Any
2. The lunch
3. The breakfast
4. Christmas lunch
 The correct answer is:","[('Any', 0.17885814607143402), ('The lunch', 0.4030630588531494), ('The breakfast', 0.26023706793785095), ('Christmas lunch', 0.157841756939888)]","[('Any', 0.02555842138826847), ('The lunch', 0.07395574450492859), ('The breakfast', 0.0541071780025959), ('Christmas lunch', 0.8463786840438843)]",The lunch,Christmas lunch
59,Why don't you come round for a meal one evening next week ?,What meal?,"['Any', 'The lunch', 'The breakfast', 'Christmas lunch']",,[1],"You can come for either lunch or dinner, as you prefer","Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Why don't you come round for a meal one evening next week ?
Question: What meal?
Choices:

1. Any
2. The lunch
3. The breakfast
4. Christmas lunch
 The correct answer is:","[('Any', 0.17757591605186462), ('The lunch', 0.40017351508140564), ('The breakfast', 0.27503496408462524), ('Christmas lunch', 0.14721561968326569)]","[('Any', 0.02342030219733715), ('The lunch', 0.06366298347711563), ('The breakfast', 0.03407634049654007), ('Christmas lunch', 0.8788403868675232)]",The lunch,Christmas lunch
60,Why don't you come round for a meal one evening next week ?,What meal?,"['The lunch', 'Any', 'The breakfast', 'Christmas lunch']",,[1],You can come at noon,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Why don't you come round for a meal one evening next week ?
Question: What meal?
Choices:

1. The lunch
2. Any
3. The breakfast
4. Christmas lunch
 The correct answer is:","[('The lunch', 0.20070862770080566), ('Any', 0.5455825924873352), ('The breakfast', 0.06516055017709732), ('Christmas lunch', 0.18854831159114838)]","[('The lunch', 0.06366298347711563), ('Any', 0.02342030219733715), ('The breakfast', 0.03407634049654007), ('Christmas lunch', 0.8788403868675232)]",Any,Christmas lunch
61,"Belinda , I’ m going to a party tonight .",What kind of party?,"[""I don't know"", 'A pool party', 'My bachelorette party', ""My dog's birthday""]",,[1],,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Belinda , I’ m going to a party tonight .
Question: What kind of party?
Choices:

1. I don't know
2. A pool party
3. My bachelorette party
4. My dog's birthday
 The correct answer is:","[(""I don't know"", 0.10173893719911575), ('A pool party', 0.12272058427333832), ('My bachelorette party', 0.5854671597480774), (""My dog's birthday"", 0.19007335603237152)]","[(""I don't know"", 0.4677225947380066), ('A pool party', 0.040869150310754776), ('My bachelorette party', 0.48256972432136536), (""My dog's birthday"", 0.008838573470711708)]",My bachelorette party,My bachelorette party
62,"Belinda , I’ m going to a party tonight .",What kind of party?,"[""I don't know"", 'A pool party', 'My bachelorette party', ""My dog's birthday""]",,[1],"It's hot, it would be nice if the party was in the pool","Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Belinda , I’ m going to a party tonight .
Question: What kind of party?
Choices:

1. I don't know
2. A pool party
3. My bachelorette party
4. My dog's birthday
 The correct answer is:","[(""I don't know"", 0.10173893719911575), ('A pool party', 0.12272058427333832), ('My bachelorette party', 0.5854671597480774), (""My dog's birthday"", 0.19007335603237152)]","[(""I don't know"", 0.4677225947380066), ('A pool party', 0.040869150310754776), ('My bachelorette party', 0.48256972432136536), (""My dog's birthday"", 0.008838573470711708)]",My bachelorette party,My bachelorette party
63,"Belinda , I' m going to a party tonight .",What kind of party?,"['A pool party', ""I don't know"", 'My bachelorette party', ""My dog's birthday""]",,[1],I will have to wear a swimsuit because the party will be at the pool,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Belinda , I' m going to a party tonight .
Question: What kind of party?
Choices:

1. A pool party
2. I don't know
3. My bachelorette party
4. My dog's birthday
 The correct answer is:","[('A pool party', 0.08303029835224152), (""I don't know"", 0.21202529966831207), ('My bachelorette party', 0.5763444900512695), (""My dog's birthday"", 0.1285998374223709)]","[('A pool party', 0.049080342054367065), (""I don't know"", 0.5444132089614868), ('My bachelorette party', 0.38604679703712463), (""My dog's birthday"", 0.020459728315472603)]",My bachelorette party,I don't know
64,Let' s got out tomorrow night . We can go to a bar.,Which bar?,"[""I don't know"", 'The irish bar', 'A closed bar', ""Mc Donald's""]",,[1],,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Let' s got out tomorrow night . We can go to a bar.
Question: Which bar?
Choices:

1. I don't know
2. The irish bar
3. A closed bar
4. Mc Donald's
 The correct answer is:","[(""I don't know"", 0.13700734078884125), ('The irish bar', 0.65362548828125), ('A closed bar', 0.12090855836868286), (""Mc Donald's"", 0.0884585902094841)]","[(""I don't know"", 0.940018355846405), ('The irish bar', 0.04003080725669861), ('A closed bar', 0.00950815062969923), (""Mc Donald's"", 0.010442660190165043)]",The irish bar,I don't know
65,Let ' s got out tomorrow night . We can go to a bar.,Which bar?,"[""I don't know"", 'The irish bar', 'A closed bar', ""Mc Donald's""]",,[1],I suppose the irish bar will be full of people,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Let ' s got out tomorrow night . We can go to a bar.
Question: Which bar?
Choices:

1. I don't know
2. The irish bar
3. A closed bar
4. Mc Donald's
 The correct answer is:","[(""I don't know"", 0.14140012860298157), ('The irish bar', 0.674582302570343), ('A closed bar', 0.11722482740879059), (""Mc Donald's"", 0.06679269671440125)]","[(""I don't know"", 0.9054725170135498), ('The irish bar', 0.07092209160327911), ('A closed bar', 0.014866077341139317), (""Mc Donald's"", 0.008739315904676914)]",The irish bar,I don't know
66,Let ' s got out tomorrow night . We can go to a bar.,Which bar?,"['The irish bar', ""I don't know"", 'A closed bar', ""Mc Donald's""]",,[1],"We should go to the irish bar, because it will be full of people","Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Let ' s got out tomorrow night . We can go to a bar.
Question: Which bar?
Choices:

1. The irish bar
2. I don't know
3. A closed bar
4. Mc Donald's
 The correct answer is:","[('The irish bar', 0.21999511122703552), (""I don't know"", 0.5277408361434937), ('A closed bar', 0.17133235931396484), (""Mc Donald's"", 0.08093167841434479)]","[('The irish bar', 0.07092209160327911), (""I don't know"", 0.9054725170135498), ('A closed bar', 0.014866077341139317), (""Mc Donald's"", 0.008739315904676914)]",I don't know,I don't know
67,Let's go and get a drink .,What kind of drink?,"['Any', 'A beer', 'A diet coke', 'An espresso']",,[1],,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Let's go and get a drink .
Question: What kind of drink?
Choices:

1. Any
2. A beer
3. A diet coke
4. An espresso
 The correct answer is:","[('Any', 0.19281265139579773), ('A beer', 0.33839672803878784), ('A diet coke', 0.1701565533876419), ('An espresso', 0.29863405227661133)]","[('Any', 0.00043203827226534486), ('A beer', 0.9422389268875122), ('A diet coke', 0.04546800255775452), ('An espresso', 0.011861037462949753)]",A beer,A beer
68,Let's go and get a drink .,What kind of drink?,"['Any', 'A beer', 'A diet coke', 'An espresso']",,[1],I've been drinking too much beer the last few days,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Let's go and get a drink .
Question: What kind of drink?
Choices:

1. Any
2. A beer
3. A diet coke
4. An espresso
 The correct answer is:","[('Any', 0.19281265139579773), ('A beer', 0.33839672803878784), ('A diet coke', 0.1701565533876419), ('An espresso', 0.29863405227661133)]","[('Any', 0.00043203827226534486), ('A beer', 0.9422389268875122), ('A diet coke', 0.04546800255775452), ('An espresso', 0.011861037462949753)]",A beer,A beer
69,Let's go and get a drink .,What kind of drink?,"['A beer', 'Any', 'A diet coke', 'An espresso']",,[1],We can go to the Irish pub for a beer,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Let's go and get a drink .
Question: What kind of drink?
Choices:

1. A beer
2. Any
3. A diet coke
4. An espresso
 The correct answer is:","[('A beer', 0.15798908472061157), ('Any', 0.4866406321525574), ('A diet coke', 0.1394248753786087), ('An espresso', 0.21594546735286713)]","[('A beer', 0.9422389268875122), ('Any', 0.00043203827226534486), ('A diet coke', 0.04546800255775452), ('An espresso', 0.011861037462949753)]",Any,A beer
70,I really want to have a pet,What kind of pet?,"['Any', 'A cat', 'A monkey', 'A dinosaur']",,[1],,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I really want to have a pet
Question: What kind of pet?
Choices:

1. Any
2. A cat
3. A monkey
4. A dinosaur
 The correct answer is:","[('Any', 0.18126817047595978), ('A cat', 0.5245168209075928), ('A monkey', 0.21865113079547882), ('A dinosaur', 0.07556381821632385)]","[('Any', 0.00025398179423063993), ('A cat', 0.9721472263336182), ('A monkey', 0.020176270976662636), ('A dinosaur', 0.007422435563057661)]",A cat,A cat
71,I really want to have a pet,What kind of pet?,"['Any', 'A cat', 'A monkey', 'A dinosaur']",,[1],"I love dogs, but cats are cleaner","Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I really want to have a pet
Question: What kind of pet?
Choices:

1. Any
2. A cat
3. A monkey
4. A dinosaur
 The correct answer is:","[('Any', 0.18126817047595978), ('A cat', 0.5245168209075928), ('A monkey', 0.21865113079547882), ('A dinosaur', 0.07556381821632385)]","[('Any', 0.00025398179423063993), ('A cat', 0.9721472263336182), ('A monkey', 0.020176270976662636), ('A dinosaur', 0.007422435563057661)]",A cat,A cat
72,I really want to have a pet,What kind of pet?,"['A cat', 'Any', 'A monkey', 'A dinosaur']",,[1],I have always wanted to have a cat,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I really want to have a pet
Question: What kind of pet?
Choices:

1. A cat
2. Any
3. A monkey
4. A dinosaur
 The correct answer is:","[('A cat', 0.3417077660560608), ('Any', 0.49718183279037476), ('A monkey', 0.06320957839488983), ('A dinosaur', 0.09790091216564178)]","[('A cat', 0.9721472263336182), ('Any', 0.00025398179423063993), ('A monkey', 0.020176270976662636), ('A dinosaur', 0.007422435563057661)]",Any,A cat
73,"I've got this really neat idea, you can hire a car and drive straight there .",Which car?,"['Any', 'A small car', 'A caravan', 'A tank']",,[1],,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I've got this really neat idea, you can hire a car and drive straight there .
Question: Which car?
Choices:

1. Any
2. A small car
3. A caravan
4. A tank
 The correct answer is:","[('Any', 0.3673976957798004), ('A small car', 0.4717479646205902), ('A caravan', 0.06796174496412277), ('A tank', 0.09289268404245377)]","[('Any', 0.0005871078465133905), ('A small car', 0.9972019195556641), ('A caravan', 0.000967977219261229), ('A tank', 0.001242907252162695)]",A small car,A small car
74,"I' ve got this really neat idea , you can hire a car and drive straight there .",Which car?,"['Any', 'A small car', 'A caravan', 'A tank']",,[1],"A small car will be cheaper, but a sports car will be faster","Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I' ve got this really neat idea , you can hire a car and drive straight there .
Question: Which car?
Choices:

1. Any
2. A small car
3. A caravan
4. A tank
 The correct answer is:","[('Any', 0.3000708222389221), ('A small car', 0.5266406536102295), ('A caravan', 0.07586978375911713), ('A tank', 0.09741872549057007)]","[('Any', 0.0007072575972415507), ('A small car', 0.9958928823471069), ('A caravan', 0.0015938295982778072), ('A tank', 0.001806045649573207)]",A small car,A small car
75,"I've got this really neat idea , you can hire a car and drive straight there .",Which car?,"['A small car', 'Any', 'A caravan', 'A tank']",,[1],I suggest you to choose a small car because the roads are very narrow,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I've got this really neat idea , you can hire a car and drive straight there .
Question: Which car?
Choices:

1. A small car
2. Any
3. A caravan
4. A tank
 The correct answer is:","[('A small car', 0.15768884122371674), ('Any', 0.7067123055458069), ('A caravan', 0.05119406804442406), ('A tank', 0.08440475165843964)]","[('A small car', 0.9970812201499939), ('Any', 0.000708101550117135), ('A caravan', 0.0009678600472398102), ('A tank', 0.0012427568435668945)]",Any,A small car
76,I just saw a red van pulling into the driveway .,Whose van is it?,"[""I don't know"", ""It's your wife's van"", ""It's the president's van"", ""It's the Scooby-Doo's Mystery Machine""]",,[1],,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I just saw a red van pulling into the driveway .
Question: Whose van is it?
Choices:

1. I don't know
2. It's your wife's van
3. It's the president's van
4. It's the Scooby-Doo's Mystery Machine
 The correct answer is:","[(""I don't know"", 0.14077208936214447), (""It's your wife's van"", 0.5926726460456848), (""It's the president's van"", 0.11670416593551636), (""It's the Scooby-Doo's Mystery Machine"", 0.14985111355781555)]","[(""I don't know"", 0.49621012806892395), (""It's your wife's van"", 0.1537187248468399), (""It's the president's van"", 0.21010857820510864), (""It's the Scooby-Doo's Mystery Machine"", 0.13996249437332153)]",It's your wife's van,I don't know
77,I just saw a red van pulling into the driveway .,Whose van is it?,"[""I don't know"", ""It's your wife's van"", ""It's the president's van"", ""It's the Scooby-Doo's Mystery Machine""]",,[1],Doesn't your wife have a red van?,"Task: I'll give you a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: I just saw a red van pulling into the driveway .
Question: Whose van is it?
Choices:

1. I don't know
2. It's your wife's van
3. It's the president's van
4. It's the Scooby-Doo's Mystery Machine
 The correct answer is:","[(""I don't know"", 0.14077208936214447), (""It's your wife's van"", 0.5926726460456848), (""It's the president's van"", 0.11670416593551636), (""It's the Scooby-Doo's Mystery Machine"", 0.14985111355781555)]","[(""I don't know"", 0.49621012806892395), (""It's your wife's van"", 0.1537187248468399), (""It's the president's van"", 0.21010857820510864), (""It's the Scooby-Doo's Mystery Machine"", 0.13996249437332153)]",It's your wife's van,I don't know
