ID,Context utterance,Completions,Human answer,Correct Answer,Prompt,choices_prob,sentences_prob,choice_win,Generated Text
35,Emily was having difficulty going through puberty,"['Emily had very strong acne causing hormones.', 'Emily had very weak acne causing hormones.', 'Emily was enjoying puberty.']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: Emily was having difficulty going through puberty

Choices:

1. Emily had very strong acne causing hormones.
2. Emily had very weak acne causing hormones.
3. Emily was enjoying puberty.
 The correct answer is:","[('Emily had very strong acne causing hormones.', 0.2739078402519226), ('Emily had very weak acne causing hormones.', 0.37438759207725525), ('Emily was enjoying puberty.', 0.35170459747314453)]","[('Emily had very strong acne causing hormones.', 0.38994693756103516), ('Emily had very weak acne causing hormones.', 0.2765137851238251), ('Emily was enjoying puberty.', 0.33353927731513977)]",Emily had very weak acne causing hormones.,Emily had very strong acne causing hormones.
36,"In some places around China,the junior high school graduates have to take a P. E. test","['The full marks are usually 30 points.', 'The students play a lot of sports.', 'There many places around China.']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: In some places around China,the junior high school graduates have to take a P. E. test

Choices:

1. The full marks are usually 30 points.
2. The students play a lot of sports.
3. There many places around China.
 The correct answer is:","[('The full marks are usually 30 points.', 0.2786959409713745), ('The students play a lot of sports.', 0.405500203371048), ('There many places around China.', 0.3158038854598999)]","[('The full marks are usually 30 points.', 0.2150605022907257), ('The students play a lot of sports.', 0.5000306367874146), ('There many places around China.', 0.28490889072418213)]",The students play a lot of sports.,The students play a lot of sports.
37,Some people do not eat some kinds of meat.,"['Muslims do not eat pork.', 'Muslims eat all kinds of meat.', 'Italians do not eat pork.']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: Some people do not eat some kinds of meat.

Choices:

1. Muslims do not eat pork.
2. Muslims eat all kinds of meat.
3. Italians do not eat pork.
 The correct answer is:","[('Muslims do not eat pork.', 0.4513793885707855), ('Muslims eat all kinds of meat.', 0.2914324402809143), ('Italians do not eat pork.', 0.25718823075294495)]","[('Muslims do not eat pork.', 0.5864574909210205), ('Muslims eat all kinds of meat.', 0.22609950602054596), ('Italians do not eat pork.', 0.1874430775642395)]",Muslims do not eat pork.,Muslims do not eat pork.
38,Japanese eat lots of fish.,"['They are near the sea.', 'They are far from the sea.', 'They are close to the mountains.']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: Japanese eat lots of fish.

Choices:

1. They are near the sea.
2. They are far from the sea.
3. They are close to the mountains.
 The correct answer is:","[('They are near the sea.', 0.5186607837677002), ('They are far from the sea.', 0.4299848675727844), ('They are close to the mountains.', 0.05135437473654747)]","[('They are near the sea.', 0.18810155987739563), ('They are far from the sea.', 0.5113130211830139), ('They are close to the mountains.', 0.30058538913726807)]",They are near the sea.,They are far from the sea.
39,My friends like different clothes. Sue likes red clothes.,"['She is often in a red skirt and red shoes.', 'She is in a white shirt.', 'She likes to wear a green skirt.']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: My friends like different clothes. Sue likes red clothes.

Choices:

1. She is often in a red skirt and red shoes.
2. She is in a white shirt.
3. She likes to wear a green skirt.
 The correct answer is:","[('She is often in a red skirt and red shoes.', 0.6517783999443054), ('She is in a white shirt.', 0.21160146594047546), ('She likes to wear a green skirt.', 0.1366201788187027)]","[('She is often in a red skirt and red shoes.', 0.4552765190601349), ('She is in a white shirt.', 0.22188405692577362), ('She likes to wear a green skirt.', 0.3228394091129303)]",She is often in a red skirt and red shoes.,She is often in a red skirt and red shoes.
40,"A student can know a lot about English, but maybe  he can't speak English. If you want to know how to   swim, you must get into the river.And if you want to be a football player, you must play football.","['You can learn English only by  using it.', 'Learning English is difficult', 'Lerning English is like playing sport']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: A student can know a lot about English, but maybe  he can't speak English. If you want to know how to   swim, you must get into the river.And if you want to be a football player, you must play football.

Choices:

1. You can learn English only by  using it.
2. Learning English is difficult
3. Lerning English is like playing sport
 The correct answer is:","[('You can learn English only by  using it.', 0.405500203371048), ('Learning English is difficult', 0.3158038854598999), ('Lerning English is like playing sport', 0.2786959409713745)]","[('You can learn English only by  using it.', 0.648297131061554), ('Learning English is difficult', 0.2240455001592636), ('Lerning English is like playing sport', 0.12765727937221527)]",You can learn English only by  using it.,You can learn English only by  using it.
41,Sarah organized the books,"['The shelves were dusty', 'The house was dusty', 'The school was closed']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: Sarah organized the books

Choices:

1. The shelves were dusty
2. The house was dusty
3. The school was closed
 The correct answer is:","[('The shelves were dusty', 0.2914319932460785), ('The house was dusty', 0.39834028482437134), ('The school was closed', 0.31022772192955017)]","[('The shelves were dusty', 0.683131754398346), ('The house was dusty', 0.06555816531181335), ('The school was closed', 0.2513101398944855)]",The house was dusty,The shelves were dusty
42,David washed the car.,"['The windows were sparkling.', 'The house was sparkling', 'The motorcycle was sparkling']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: David washed the car.

Choices:

1. The windows were sparkling.
2. The house was sparkling
3. The motorcycle was sparkling
 The correct answer is:","[('The windows were sparkling.', 0.5486599802970886), ('The house was sparkling', 0.31261706352233887), ('The motorcycle was sparkling', 0.1387229710817337)]","[('The windows were sparkling.', 0.8899053931236267), ('The house was sparkling', 0.09379533678293228), ('The motorcycle was sparkling', 0.016299186274409294)]",The windows were sparkling.,The windows were sparkling.
43,Michael painted the wall. ,"['The color was vibrant.', 'The wall was painted', 'Michael loved painting']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: Michael painted the wall. 

Choices:

1. The color was vibrant.
2. The wall was painted
3. Michael loved painting
 The correct answer is:","[('The color was vibrant.', 0.2739078402519226), ('The wall was painted', 0.37438759207725525), ('Michael loved painting', 0.35170459747314453)]","[('The color was vibrant.', 0.32006141543388367), ('The wall was painted', 0.6775700449943542), ('Michael loved painting', 0.0023685144260525703)]",The wall was painted,The wall was painted
44,A young man woke up one morning under a bridge and checked his pocket.,"['All he had left was less than ten dollars.', 'All he had left was less than 1000 dollars.', 'It was a sunny day']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: A young man woke up one morning under a bridge and checked his pocket.

Choices:

1. All he had left was less than ten dollars.
2. All he had left was less than 1000 dollars.
3. It was a sunny day
 The correct answer is:","[('All he had left was less than ten dollars.', 0.2914319932460785), ('All he had left was less than 1000 dollars.', 0.39834028482437134), ('It was a sunny day', 0.31022772192955017)]","[('All he had left was less than ten dollars.', 0.15521711111068726), ('All he had left was less than 1000 dollars.', 0.24040494859218597), ('It was a sunny day', 0.6043779850006104)]",All he had left was less than 1000 dollars.,It was a sunny day
45,John lives on a farm.,"['His parents grow rice and corn.', 'Every morning, he goes to the beach', 'His parents are fisherman']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: John lives on a farm.

Choices:

1. His parents grow rice and corn.
2. Every morning, he goes to the beach
3. His parents are fisherman
 The correct answer is:","[('His parents grow rice and corn.', 0.31916776299476624), ('Every morning, he goes to the beach', 0.36166447401046753), ('His parents are fisherman', 0.31916776299476624)]","[('His parents grow rice and corn.', 0.13422106206417084), ('Every morning, he goes to the beach', 0.8222036957740784), ('His parents are fisherman', 0.04357520118355751)]","Every morning, he goes to the beach","Every morning, he goes to the beach"
46,It's the doll that my sister loved most and wanted so much for Christmas.,"['She was so sure that Santa Claus would bring it to her.', 'She was so sure that Santa Claus would bring a peluche to her.', 'She was looking forward to Easter.']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: It's the doll that my sister loved most and wanted so much for Christmas.

Choices:

1. She was so sure that Santa Claus would bring it to her.
2. She was so sure that Santa Claus would bring a peluche to her.
3. She was looking forward to Easter.
 The correct answer is:","[('She was so sure that Santa Claus would bring it to her.', 0.5779504776000977), ('She was so sure that Santa Claus would bring a peluche to her.', 0.2564639747142792), ('She was looking forward to Easter.', 0.16558559238910675)]","[('She was so sure that Santa Claus would bring it to her.', 0.8346978425979614), ('She was so sure that Santa Claus would bring a peluche to her.', 0.14504873752593994), ('She was looking forward to Easter.', 0.020253341645002365)]",She was so sure that Santa Claus would bring it to her.,She was so sure that Santa Claus would bring it to her.
47,It is not easy for people to sail around the world in quite small boats.,"['Accidents can happen easily and quickly.', 'Accidents are infrequent.', 'Wider boats can accomodate more people.']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: It is not easy for people to sail around the world in quite small boats.

Choices:

1. Accidents can happen easily and quickly.
2. Accidents are infrequent.
3. Wider boats can accomodate more people.
 The correct answer is:","[('Accidents can happen easily and quickly.', 0.20671342313289642), ('Accidents are infrequent.', 0.5278612375259399), ('Wider boats can accomodate more people.', 0.26542529463768005)]","[('Accidents can happen easily and quickly.', 0.48112186789512634), ('Accidents are infrequent.', 0.10735280066728592), ('Wider boats can accomodate more people.', 0.41152533888816833)]",Accidents are infrequent.,Accidents can happen easily and quickly.
48,"After a quick breakfast, I went into the lecture  hall in a hurry.","['A famous teacher was speaking to the students.', 'A famous musician was playing the guitar', 'The lecture hall is beautiful.']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: After a quick breakfast, I went into the lecture  hall in a hurry.

Choices:

1. A famous teacher was speaking to the students.
2. A famous musician was playing the guitar
3. The lecture hall is beautiful.
 The correct answer is:","[('A famous teacher was speaking to the students.', 0.4499334990978241), ('A famous musician was playing the guitar', 0.24083206057548523), ('The lecture hall is beautiful.', 0.30923447012901306)]","[('A famous teacher was speaking to the students.', 0.09334204345941544), ('A famous musician was playing the guitar', 0.14916016161441803), ('The lecture hall is beautiful.', 0.7574977874755859)]",A famous teacher was speaking to the students.,The lecture hall is beautiful.
49,The farmland needed irrigation.,"['A canal was constructed', 'A flood occurred.', 'A new granary was built']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: The farmland needed irrigation.

Choices:

1. A canal was constructed
2. A flood occurred.
3. A new granary was built
 The correct answer is:","[('A canal was constructed', 0.5218896269798279), ('A flood occurred.', 0.23158711194992065), ('A new granary was built', 0.2465232014656067)]","[('A canal was constructed', 0.525730311870575), ('A flood occurred.', 0.02458873577415943), ('A new granary was built', 0.44968095421791077)]",A canal was constructed,A canal was constructed
50, The patient was dehydrated.,"['The nurse gave him an IV.', 'The nurse tested his reflexes.', 'The nurse discharged him']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence:  The patient was dehydrated.

Choices:

1. The nurse gave him an IV.
2. The nurse tested his reflexes.
3. The nurse discharged him
 The correct answer is:","[('The nurse gave him an IV.', 0.44881537556648254), ('The nurse tested his reflexes.', 0.3960781693458557), ('The nurse discharged him', 0.15510645508766174)]","[('The nurse gave him an IV.', 0.5996133685112), ('The nurse tested his reflexes.', 0.3871394991874695), ('The nurse discharged him', 0.01324718538671732)]",The nurse gave him an IV.,The nurse gave him an IV.
51,The papers were disorganized.,"['I put them into alphabetical order.', 'I made photocopies of them.', 'I collected them in a book']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: The papers were disorganized.

Choices:

1. I put them into alphabetical order.
2. I made photocopies of them.
3. I collected them in a book
 The correct answer is:","[('I put them into alphabetical order.', 0.3127303719520569), ('I made photocopies of them.', 0.3543699383735657), ('I collected them in a book', 0.3328997492790222)]","[('I put them into alphabetical order.', 0.2826928496360779), ('I made photocopies of them.', 0.45174187421798706), ('I collected them in a book', 0.26556533575057983)]",I made photocopies of them.,I made photocopies of them.
52,The woman won the lottery.,"['She bought a yacht.', 'She joined a church.', 'She bought a pack of gum']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: The woman won the lottery.

Choices:

1. She bought a yacht.
2. She joined a church.
3. She bought a pack of gum
 The correct answer is:","[('She bought a yacht.', 0.3274258077144623), ('She joined a church.', 0.22503623366355896), ('She bought a pack of gum', 0.44753798842430115)]","[('She bought a yacht.', 0.1930881291627884), ('She joined a church.', 0.06672947108745575), ('She bought a pack of gum', 0.7401823997497559)]",She bought a pack of gum,She bought a pack of gum
53,The bird couldn't fly.,"['It injured its wing.', 'It migrated for the winter.', 'It built a nest']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: The bird couldn't fly.

Choices:

1. It injured its wing.
2. It migrated for the winter.
3. It built a nest
 The correct answer is:","[('It injured its wing.', 0.45278382301330566), ('It migrated for the winter.', 0.4253510534763336), ('It built a nest', 0.12186511605978012)]","[('It injured its wing.', 0.7101709842681885), ('It migrated for the winter.', 0.1584605723619461), ('It built a nest', 0.13136842846870422)]",It injured its wing.,It injured its wing.
54,The nurse prepared the needle for the patient's injection.,"['The patient bled', 'The patient tensed up.', 'The patient was discharged']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: The nurse prepared the needle for the patient's injection.

Choices:

1. The patient bled
2. The patient tensed up.
3. The patient was discharged
 The correct answer is:","[('The patient bled', 0.27987152338027954), ('The patient tensed up.', 0.33758947253227234), ('The patient was discharged', 0.3825390040874481)]","[('The patient bled', 0.1321832537651062), ('The patient tensed up.', 0.8354238867759705), ('The patient was discharged', 0.03239290043711662)]",The patient was discharged,The patient tensed up.
55,My stomach growled,"['I forgot to eat breakfast.', 'I was full from breakfast.', 'I love to eat']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: My stomach growled

Choices:

1. I forgot to eat breakfast.
2. I was full from breakfast.
3. I love to eat
 The correct answer is:","[('I forgot to eat breakfast.', 0.40409305691719055), ('I was full from breakfast.', 0.26090207695961), ('I love to eat', 0.33500489592552185)]","[('I forgot to eat breakfast.', 0.6359446048736572), ('I was full from breakfast.', 0.10711054503917694), ('I love to eat', 0.25694483518600464)]",I forgot to eat breakfast.,I forgot to eat breakfast.
56,The man removed his coat.,"['He entered the house.', 'He loosened his tie.', 'The coat was ugly']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: The man removed his coat.

Choices:

1. He entered the house.
2. He loosened his tie.
3. The coat was ugly
 The correct answer is:","[('He entered the house.', 0.21563534438610077), ('He loosened his tie.', 0.3555225729942322), ('The coat was ugly', 0.42884209752082825)]","[('He entered the house.', 0.34332942962646484), ('He loosened his tie.', 0.4548375904560089), ('The coat was ugly', 0.20183296501636505)]",The coat was ugly,He loosened his tie.
57,The bar closed,"['It was 3 AM.', 'It was crowded.', 'It was a beautiful bar']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: The bar closed

Choices:

1. It was 3 AM.
2. It was crowded.
3. It was a beautiful bar
 The correct answer is:","[('It was 3 AM.', 0.28571540117263794), ('It was crowded.', 0.32375794649124146), ('It was a beautiful bar', 0.3905266523361206)]","[('It was 3 AM.', 0.5307289361953735), ('It was crowded.', 0.1045067235827446), ('It was a beautiful bar', 0.3647643029689789)]",It was a beautiful bar,It was 3 AM.
58,The pharmaceutical company recalled the drug.,"['Users reported dangerous side effects.', 'Users got refills on their prescriptions.', 'The pharmaceutical company had made a lot of gains']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: The pharmaceutical company recalled the drug.

Choices:

1. Users reported dangerous side effects.
2. Users got refills on their prescriptions.
3. The pharmaceutical company had made a lot of gains
 The correct answer is:","[('Users reported dangerous side effects.', 0.3687960207462311), ('Users got refills on their prescriptions.', 0.30574262142181396), ('The pharmaceutical company had made a lot of gains', 0.32546132802963257)]","[('Users reported dangerous side effects.', 0.31499889492988586), ('Users got refills on their prescriptions.', 0.48787984251976013), ('The pharmaceutical company had made a lot of gains', 0.1971212774515152)]",Users reported dangerous side effects.,Users got refills on their prescriptions.
59,I moved to a new city.,"['I found a better-paying job.', 'My son was born.', 'I had three children']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: I moved to a new city.

Choices:

1. I found a better-paying job.
2. My son was born.
3. I had three children
 The correct answer is:","[('I found a better-paying job.', 0.24724788963794708), ('My son was born.', 0.5931168794631958), ('I had three children', 0.1596352458000183)]","[('I found a better-paying job.', 0.800288736820221), ('My son was born.', 0.19611918926239014), ('I had three children', 0.0035920480731874704)]",My son was born.,I found a better-paying job.
60,The fans in the stadium cheered.,"['The player scored.', 'The game ended in a tie.', 'A player is injured.']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: The fans in the stadium cheered.

Choices:

1. The player scored.
2. The game ended in a tie.
3. A player is injured.
 The correct answer is:","[('The player scored.', 0.5683481097221375), ('The game ended in a tie.', 0.2225683182477951), ('A player is injured.', 0.20908358693122864)]","[('The player scored.', 0.0031961831264197826), ('The game ended in a tie.', 0.9886420369148254), ('A player is injured.', 0.008161739446222782)]",The player scored.,The game ended in a tie.
61,The trip took a long time.,"['The driver made a wrong turn.', 'The driver talked the whole way.', 'The trip was pleasant.']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: The trip took a long time.

Choices:

1. The driver made a wrong turn.
2. The driver talked the whole way.
3. The trip was pleasant.
 The correct answer is:","[('The driver made a wrong turn.', 0.1596352458000183), ('The driver talked the whole way.', 0.24724788963794708), ('The trip was pleasant.', 0.5931168794631958)]","[('The driver made a wrong turn.', 0.40577566623687744), ('The driver talked the whole way.', 0.05665897578001022), ('The trip was pleasant.', 0.5375654101371765)]",The trip was pleasant.,The trip was pleasant.
62,A burglar broke into the house.,"['The security alarm went off.', 'The security alarm did not go off.', 'The homeowners were having dinner.']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: A burglar broke into the house.

Choices:

1. The security alarm went off.
2. The security alarm did not go off.
3. The homeowners were having dinner.
 The correct answer is:","[('The security alarm went off.', 0.3371894061565399), ('The security alarm did not go off.', 0.522249162197113), ('The homeowners were having dinner.', 0.14056146144866943)]","[('The security alarm went off.', 0.223831444978714), ('The security alarm did not go off.', 0.7572120428085327), ('The homeowners were having dinner.', 0.01895643211901188)]",The security alarm did not go off.,The security alarm did not go off.
63,The mirror in the bathroom fogged up.,"['The girl turned on the fan.', 'The girl applied her makeup.', 'The girl bought a new mirror.']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: The mirror in the bathroom fogged up.

Choices:

1. The girl turned on the fan.
2. The girl applied her makeup.
3. The girl bought a new mirror.
 The correct answer is:","[('The girl turned on the fan.', 0.4910148084163666), ('The girl applied her makeup.', 0.35923412442207336), ('The girl bought a new mirror.', 0.14975106716156006)]","[('The girl turned on the fan.', 0.6728924512863159), ('The girl applied her makeup.', 0.05523437634110451), ('The girl bought a new mirror.', 0.2718731164932251)]",The girl turned on the fan.,The girl turned on the fan.
64,The driver rotated the steering wheel.,"['The car turned.', 'The car halted.', 'The car accelerated.']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: The driver rotated the steering wheel.

Choices:

1. The car turned.
2. The car halted.
3. The car accelerated.
 The correct answer is:","[('The car turned.', 0.6148271560668945), ('The car halted.', 0.25629809498786926), ('The car accelerated.', 0.1288747787475586)]","[('The car turned.', 0.14140117168426514), ('The car halted.', 0.29934629797935486), ('The car accelerated.', 0.5592525005340576)]",The car turned.,The car accelerated.
65,The woman covered her ears.,"['The fire alarm blared.', 'There was a smell of smoke.', 'It was very hot.']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: The woman covered her ears.

Choices:

1. The fire alarm blared.
2. There was a smell of smoke.
3. It was very hot.
 The correct answer is:","[('The fire alarm blared.', 0.3405275046825409), ('There was a smell of smoke.', 0.465445876121521), ('It was very hot.', 0.19402670860290527)]","[('The fire alarm blared.', 0.4565577805042267), ('There was a smell of smoke.', 0.3905145525932312), ('It was very hot.', 0.1529276967048645)]",There was a smell of smoke.,The fire alarm blared.
66,My car was towed.,"['I parked illegally.', 'I jumped the battery.', 'I parked legally']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: My car was towed.

Choices:

1. I parked illegally.
2. I jumped the battery.
3. I parked legally
 The correct answer is:","[('I parked illegally.', 0.2426069974899292), ('I jumped the battery.', 0.4257885217666626), ('I parked legally', 0.3316044211387634)]","[('I parked illegally.', 0.20595267415046692), ('I jumped the battery.', 0.7894972562789917), ('I parked legally', 0.0045500872656702995)]",I jumped the battery.,I jumped the battery.
67,The boy climbed the tree.,"['A cat got stuck', 'A bird built a nest', 'The tree had many dry branches']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: The boy climbed the tree.

Choices:

1. A cat got stuck
2. A bird built a nest
3. The tree had many dry branches
 The correct answer is:","[('A cat got stuck', 0.20908358693122864), ('A bird built a nest', 0.2225683182477951), ('The tree had many dry branches', 0.5683481097221375)]","[('A cat got stuck', 0.04375101625919342), ('A bird built a nest', 0.3133324682712555), ('The tree had many dry branches', 0.6429165005683899)]",The tree had many dry branches,The tree had many dry branches
68,The father shut off the television.,"['It was bedtime for the children.', 'The children were watching cartoons.', 'The television was broken']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: The father shut off the television.

Choices:

1. It was bedtime for the children.
2. The children were watching cartoons.
3. The television was broken
 The correct answer is:","[('It was bedtime for the children.', 0.37575656175613403), ('The children were watching cartoons.', 0.33160400390625), ('The television was broken', 0.29263949394226074)]","[('It was bedtime for the children.', 0.5996586084365845), ('The children were watching cartoons.', 0.25790995359420776), ('The television was broken', 0.14243140816688538)]",It was bedtime for the children.,It was bedtime for the children.
69,The boat capsized.,"['It was caught in a hurricane.', 'The captain raised the sail.', 'The sea was calm']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: The boat capsized.

Choices:

1. It was caught in a hurricane.
2. The captain raised the sail.
3. The sea was calm
 The correct answer is:","[('It was caught in a hurricane.', 0.21872307360172272), ('The captain raised the sail.', 0.3182401955127716), ('The sea was calm', 0.46303674578666687)]","[('It was caught in a hurricane.', 0.5959083437919617), ('The captain raised the sail.', 0.23336105048656464), ('The sea was calm', 0.1707306057214737)]",The sea was calm,It was caught in a hurricane.
70,A crater formed on the moon.,"['A comet passed by.', 'A comet collided.', 'The moon was beautiful']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: A crater formed on the moon.

Choices:

1. A comet passed by.
2. A comet collided.
3. The moon was beautiful
 The correct answer is:","[('A comet passed by.', 0.32122793793678284), ('A comet collided.', 0.41246482729911804), ('The moon was beautiful', 0.2663073241710663)]","[('A comet passed by.', 0.8238867521286011), ('A comet collided.', 0.03734814003109932), ('The moon was beautiful', 0.13876517117023468)]",A comet collided.,A comet passed by.
71,The bureau drawers were cluttered.,"['I threw away unnecessary contents.', 'I locked the drawers shut.', 'I added other clothes']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: The bureau drawers were cluttered.

Choices:

1. I threw away unnecessary contents.
2. I locked the drawers shut.
3. I added other clothes
 The correct answer is:","[('I threw away unnecessary contents.', 0.5062783360481262), ('I locked the drawers shut.', 0.23914894461631775), ('I added other clothes', 0.2545727491378784)]","[('I threw away unnecessary contents.', 0.17253969609737396), ('I locked the drawers shut.', 0.8231408596038818), ('I added other clothes', 0.004319446627050638)]",I threw away unnecessary contents.,I locked the drawers shut.
72,The flight got delayed.,"['Tornadoes were sighted in the area.', 'I was held up at airport security.', 'There was a very good weather for flying']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: The flight got delayed.

Choices:

1. Tornadoes were sighted in the area.
2. I was held up at airport security.
3. There was a very good weather for flying
 The correct answer is:","[('Tornadoes were sighted in the area.', 0.1827039271593094), ('I was held up at airport security.', 0.32065537571907043), ('There was a very good weather for flying', 0.49664074182510376)]","[('Tornadoes were sighted in the area.', 0.2962656617164612), ('I was held up at airport security.', 0.35736462473869324), ('There was a very good weather for flying', 0.3463696539402008)]",There was a very good weather for flying,I was held up at airport security.
73,The smoke alarm went off.,"['I burnt my dinner.', 'I lit a candle.', 'The batteries were dead']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: The smoke alarm went off.

Choices:

1. I burnt my dinner.
2. I lit a candle.
3. The batteries were dead
 The correct answer is:","[('I burnt my dinner.', 0.21872307360172272), ('I lit a candle.', 0.3182401955127716), ('The batteries were dead', 0.46303674578666687)]","[('I burnt my dinner.', 0.011998001486063004), ('I lit a candle.', 0.2906849682331085), ('The batteries were dead', 0.6973170042037964)]",The batteries were dead,The batteries were dead
74,The vase broke.,"['I glued it back together.', 'I stenciled it.', 'I put it on the library']",,[1],"Task: I'll give you a sentence and three options. Each option is a possible following of the first sentence. You must choose the most probable following. Answer with the number correspondent to the right option. Sentence: The vase broke.

Choices:

1. I glued it back together.
2. I stenciled it.
3. I put it on the library
 The correct answer is:","[('I glued it back together.', 0.3825390338897705), ('I stenciled it.', 0.3375895023345947), ('I put it on the library', 0.27987155318260193)]","[('I glued it back together.', 0.8889747262001038), ('I stenciled it.', 0.04860949143767357), ('I put it on the library', 0.062415823340415955)]",I glued it back together.,I glued it back together.
