ID,Target,Question,Choices,Human answer,Correct Answer,Prompt,choices_prob,sentences_prob,choice_win,Generated Text
46,"Opponents such as Harris and Pfeifer argued loudly that the city was forecasting a deficit because it is saddled with debt voters didn't approve, to fund a library they didn't request, for the president who didn't inhale.",Did they act together?,"['It cannot be said', 'No', 'Yes']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Opponents such as Harris and Pfeifer argued loudly that the city was forecasting a deficit because it is saddled with debt voters didn't approve, to fund a library they didn't request, for the president who didn't inhale.
Question: Did they act together?
Choices:

1. It cannot be said
2. No
3. Yes
 The correct answer is:","[('It cannot be said', 0.12827637791633606), ('No', 0.3951190412044525), ('Yes', 0.47660455107688904)]","[('It cannot be said', 0.9233053922653198), ('No', 0.02460525557398796), ('Yes', 0.052089326083660126)]",Yes,It cannot be said
47,Jon and Susan ate breakfast.,Did they act together?,"['It cannot be said', 'No', 'Yes']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Jon and Susan ate breakfast.
Question: Did they act together?
Choices:

1. It cannot be said
2. No
3. Yes
 The correct answer is:","[('It cannot be said', 0.13032102584838867), ('No', 0.3542492985725403), ('Yes', 0.515429675579071)]","[('It cannot be said', 0.9130832552909851), ('No', 0.03540407866239548), ('Yes', 0.05151263251900673)]",Yes,It cannot be said
48,"Ca'daan and Adrin watched the riders leave, heading north with fresh provisions",Did they act together?,"['Yes', 'No', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Ca'daan and Adrin watched the riders leave, heading north with fresh provisions
Question: Did they act together?
Choices:

1. Yes
2. No
3. It cannot be said
 The correct answer is:","[('Yes', 0.25003141164779663), ('No', 0.5293165445327759), ('It cannot be said', 0.22065195441246033)]","[('Yes', 0.008558923378586769), ('No', 0.002164034638553858), ('It cannot be said', 0.9892770051956177)]",No,It cannot be said
49,Jon and San'doro moved forward until they could see the riders cutting through the middle of the town.,Did they act together?,"['Yes', 'No', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Jon and San'doro moved forward until they could see the riders cutting through the middle of the town.
Question: Did they act together?
Choices:

1. Yes
2. No
3. It cannot be said
 The correct answer is:","[('Yes', 0.2875422239303589), ('No', 0.4740769565105438), ('It cannot be said', 0.23838086426258087)]","[('Yes', 0.01987445540726185), ('No', 0.02252070978283882), ('It cannot be said', 0.9576048851013184)]",No,It cannot be said
50,Jon and Thorn turned back to the rest of the group.,Did they act together?,"['Yes', 'No', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Jon and Thorn turned back to the rest of the group.
Question: Did they act together?
Choices:

1. Yes
2. No
3. It cannot be said
 The correct answer is:","[('Yes', 0.2790113687515259), ('No', 0.4896801710128784), ('It cannot be said', 0.23130853474140167)]","[('Yes', 0.030600814148783684), ('No', 0.017435817047953606), ('It cannot be said', 0.9519633650779724)]",No,It cannot be said
51,Time and Newsweek celebrate the U.S.,Did they act together?,"['No', 'Yes', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Time and Newsweek celebrate the U.S.
Question: Did they act together?
Choices:

1. No
2. Yes
3. It cannot be said
 The correct answer is:","[('No', 0.24177764356136322), ('Yes', 0.5448543429374695), ('It cannot be said', 0.2133680135011673)]","[('No', 0.002696658717468381), ('Yes', 0.037226226180791855), ('It cannot be said', 0.9600770473480225)]",Yes,It cannot be said
52,"Tommy and Julius watched it out of sight, and then turned to the narrow path.",Did they act together?,"['Yes', 'No', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Tommy and Julius watched it out of sight, and then turned to the narrow path.
Question: Did they act together?
Choices:

1. Yes
2. No
3. It cannot be said
 The correct answer is:","[('Yes', 0.23612283170223236), ('No', 0.4411354959011078), ('It cannot be said', 0.32274162769317627)]","[('Yes', 0.03268811106681824), ('No', 0.01202528364956379), ('It cannot be said', 0.9552866220474243)]",No,It cannot be said
53,"In the letter to Administrator Whitman, Senators Jeffords and Lieberman asked for an analysis of four different scenarios",Did they act together?,"['Yes', 'No', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: In the letter to Administrator Whitman, Senators Jeffords and Lieberman asked for an analysis of four different scenarios
Question: Did they act together?
Choices:

1. Yes
2. No
3. It cannot be said
 The correct answer is:","[('Yes', 0.2786963880062103), ('No', 0.45949265360832214), ('It cannot be said', 0.2618110477924347)]","[('Yes', 0.07071150094270706), ('No', 0.012287816032767296), ('It cannot be said', 0.9170007109642029)]",No,It cannot be said
54,Senators Jeffords and Lieberman asked for an analysis of four different scenarios,Did they act together?,"['It cannot be said', 'No', 'Yes']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Senators Jeffords and Lieberman asked for an analysis of four different scenarios
Question: Did they act together?
Choices:

1. It cannot be said
2. No
3. Yes
 The correct answer is:","[('It cannot be said', 0.10230856388807297), ('No', 0.23055590689182281), ('Yes', 0.6671355962753296)]","[('It cannot be said', 0.9228934049606323), ('No', 0.010252419859170914), ('Yes', 0.06685417890548706)]",Yes,It cannot be said
55,Adrin and San'doro began the hike to the north passage.,Did they act together?,"['Yes', 'No', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Adrin and San'doro began the hike to the north passage.
Question: Did they act together?
Choices:

1. Yes
2. No
3. It cannot be said
 The correct answer is:","[('Yes', 0.3158038854598999), ('No', 0.405500203371048), ('It cannot be said', 0.2786959409713745)]","[('Yes', 0.007113159634172916), ('No', 0.0011611913796514273), ('It cannot be said', 0.9917256832122803)]",No,It cannot be said
56,Sir James and Julius accompanied her to the door.,Did they act together?,"['Yes', 'No', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Sir James and Julius accompanied her to the door.
Question: Did they act together?
Choices:

1. Yes
2. No
3. It cannot be said
 The correct answer is:","[('Yes', 0.29962652921676636), ('No', 0.4359540045261383), ('It cannot be said', 0.26441946625709534)]","[('Yes', 0.006671758368611336), ('No', 0.003151515731588006), ('It cannot be said', 0.9901767373085022)]",No,It cannot be said
57,"First, the President and Congress designed the Acid Rain Program to focus on reducing the SO2 emissions that cause acid deposition and translated the emission reduction goal into a nationwide cap on emissions from electric generating sources.",Did they act together?,"['Yes', 'No', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: First, the President and Congress designed the Acid Rain Program to focus on reducing the SO2 emissions that cause acid deposition and translated the emission reduction goal into a nationwide cap on emissions from electric generating sources.
Question: Did they act together?
Choices:

1. Yes
2. No
3. It cannot be said
 The correct answer is:","[('Yes', 0.29381459951400757), ('No', 0.5489178895950317), ('It cannot be said', 0.15726761519908905)]","[('Yes', 0.056100133806467056), ('No', 0.00974874198436737), ('It cannot be said', 0.9341511130332947)]",No,It cannot be said
58,The CIA and FBI touted this arrest as proof that they had fixed the bureaucratic bungling that had allowed Ames to go undetected for six years.    ,Did they act together?,"['It cannot be said', 'No', 'Yes']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: The CIA and FBI touted this arrest as proof that they had fixed the bureaucratic bungling that had allowed Ames to go undetected for six years.    
Question: Did they act together?
Choices:

1. It cannot be said
2. No
3. Yes
 The correct answer is:","[('It cannot be said', 0.13398194313049316), ('No', 0.3019329905509949), ('Yes', 0.564085066318512)]","[('It cannot be said', 0.43451839685440063), ('No', 0.31790047883987427), ('Yes', 0.2475811392068863)]",Yes,It cannot be said
59,The Korbels and Simova continued to correspond after the war,Did they act together?,"['No', 'It cannot be said', 'Yes']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: The Korbels and Simova continued to correspond after the war
Question: Did they act together?
Choices:

1. No
2. It cannot be said
3. Yes
 The correct answer is:","[('No', 0.1539839655160904), ('It cannot be said', 0.19771933555603027), ('Yes', 0.6482967138290405)]","[('No', 0.002155640162527561), ('It cannot be said', 0.9854394793510437), ('Yes', 0.0124048525467515)]",Yes,It cannot be said
60,"Subsequently, the Office of Management and Budget and OPM developed criteria that recognized the importance of creating a performance culture that appraises and rewards employees based on their contributions to organizational goals as a key dimension of effective human capital management.",Did they act together?,"['Yes', 'It cannot be said', 'No']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Subsequently, the Office of Management and Budget and OPM developed criteria that recognized the importance of creating a performance culture that appraises and rewards employees based on their contributions to organizational goals as a key dimension of effective human capital management.
Question: Did they act together?
Choices:

1. Yes
2. It cannot be said
3. No
 The correct answer is:","[('Yes', 0.23752710223197937), ('It cannot be said', 0.34559985995292664), ('No', 0.416873037815094)]","[('Yes', 0.014943664893507957), ('It cannot be said', 0.984158992767334), ('No', 0.0008974368683993816)]",No,It cannot be said
61,Red and Slim found the two strange little animals the morning after they heard the thunder sounds.,Did they act together?,"['Yes', 'It cannot be said', 'No']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Red and Slim found the two strange little animals the morning after they heard the thunder sounds.
Question: Did they act together?
Choices:

1. Yes
2. It cannot be said
3. No
 The correct answer is:","[('Yes', 0.22639411687850952), ('It cannot be said', 0.3506460189819336), ('No', 0.4229598641395569)]","[('Yes', 0.014915818348526955), ('It cannot be said', 0.9823250770568848), ('No', 0.002759148832410574)]",No,It cannot be said
62,Adrin and San'doro arrived.,Did they act together?,"['It cannot be said', 'Yes', 'No']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Adrin and San'doro arrived.
Question: Did they act together?
Choices:

1. It cannot be said
2. Yes
3. No
 The correct answer is:","[('It cannot be said', 0.17764994502067566), ('Yes', 0.5472003817558289), ('No', 0.2751496434211731)]","[('It cannot be said', 0.9899222254753113), ('Yes', 0.009116868488490582), ('No', 0.000960910867433995)]",Yes,It cannot be said
63,Both Glenridding and Patterdale offer boat rentals.,Did they act together?,"['No', 'Yes', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Both Glenridding and Patterdale offer boat rentals.
Question: Did they act together?
Choices:

1. No
2. Yes
3. It cannot be said
 The correct answer is:","[('No', 0.2585151195526123), ('Yes', 0.48296982049942017), ('It cannot be said', 0.2585151195526123)]","[('No', 0.013883352279663086), ('Yes', 0.042763736099004745), ('It cannot be said', 0.9433528780937195)]",Yes,It cannot be said
64,Nye and Drew jumped up to ease him into a seat.,Did they act together?,"['Yes', 'No', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Nye and Drew jumped up to ease him into a seat.
Question: Did they act together?
Choices:

1. Yes
2. No
3. It cannot be said
 The correct answer is:","[('Yes', 0.2960455119609833), ('No', 0.458524227142334), ('It cannot be said', 0.2454303503036499)]","[('Yes', 0.02433195523917675), ('No', 0.003731426317244768), ('It cannot be said', 0.9719365835189819)]",No,It cannot be said
65,Tommy and Julius gave the history of the last week and their futile search.,Did they act together?,"['Yes', 'No', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Tommy and Julius gave the history of the last week and their futile search.
Question: Did they act together?
Choices:

1. Yes
2. No
3. It cannot be said
 The correct answer is:","[('Yes', 0.22721977531909943), ('No', 0.48102426528930664), ('It cannot be said', 0.2917559742927551)]","[('Yes', 0.011662046425044537), ('No', 0.0021572615951299667), ('It cannot be said', 0.9861807227134705)]",No,It cannot be said
66,Glassman and Hassett write in to say I have misrepresented their argument.,Did they act together?,"['Yes', 'No', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Glassman and Hassett write in to say I have misrepresented their argument.
Question: Did they act together?
Choices:

1. Yes
2. No
3. It cannot be said
 The correct answer is:","[('Yes', 0.2524433434009552), ('No', 0.44305184483528137), ('It cannot be said', 0.30450478196144104)]","[('Yes', 0.015312980860471725), ('No', 0.007233339827507734), ('It cannot be said', 0.9774536490440369)]",No,It cannot be said
67,Thorn and Vrenna hiked to the top of the bluff during the day.,Did they act together?,"['Yes', 'No', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Thorn and Vrenna hiked to the top of the bluff during the day.
Question: Did they act together?
Choices:

1. Yes
2. No
3. It cannot be said
 The correct answer is:","[('Yes', 0.31290414929389954), ('No', 0.42768925428390503), ('It cannot be said', 0.2594066560268402)]","[('Yes', 0.011666348204016685), ('No', 0.0017890925519168377), ('It cannot be said', 0.9865445494651794)]",No,It cannot be said
68,Vernell and Pamela visited Dahmer's apartment often.,Did they act together?,"['It cannot be said', 'No', 'Yes']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Vernell and Pamela visited Dahmer's apartment often.
Question: Did they act together?
Choices:

1. It cannot be said
2. No
3. Yes
 The correct answer is:","[('It cannot be said', 0.1331794410943985), ('No', 0.34008562564849854), ('Yes', 0.5267348885536194)]","[('It cannot be said', 0.9807329177856445), ('No', 0.009032237343490124), ('Yes', 0.010234867222607136)]",Yes,It cannot be said
69,Vrenna and Thorn walked down from the path of the bluff.,Did they act together?,"['Yes', 'No', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Vrenna and Thorn walked down from the path of the bluff.
Question: Did they act together?
Choices:

1. Yes
2. No
3. It cannot be said
 The correct answer is:","[('Yes', 0.26262855529785156), ('No', 0.49065473675727844), ('It cannot be said', 0.2467166930437088)]","[('Yes', 0.010964659042656422), ('No', 0.002028257818892598), ('It cannot be said', 0.9870071411132812)]",No,It cannot be said
70,"The two Ulster earls, O'Neill and O'Donnell went into exile on the Continent, along with many other Irish lords",Did they act together?,"['Yes', 'No', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: The two Ulster earls, O'Neill and O'Donnell went into exile on the Continent, along with many other Irish lords
Question: Did they act together?
Choices:

1. Yes
2. No
3. It cannot be said
 The correct answer is:","[('Yes', 0.27067500352859497), ('No', 0.47504937648773193), ('It cannot be said', 0.2542756199836731)]","[('Yes', 0.02146470546722412), ('No', 0.006968569476157427), ('It cannot be said', 0.9715667366981506)]",No,It cannot be said
71,"The two Ulster earls, O'Neill and O'Donnell went into exile on the Continent.",Did they act together?,"['It cannot be said', 'No', 'Yes']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: The two Ulster earls, O'Neill and O'Donnell went into exile on the Continent.
Question: Did they act together?
Choices:

1. It cannot be said
2. No
3. Yes
 The correct answer is:","[('It cannot be said', 0.11939892917871475), ('No', 0.34549224376678467), ('Yes', 0.5351088643074036)]","[('It cannot be said', 0.9622441530227661), ('No', 0.012112866155803204), ('Yes', 0.025642937049269676)]",Yes,It cannot be said
72,German and Koch adopted three sisters from Costa Rica.,Did they act together?,"['Yes', 'No', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: German and Koch adopted three sisters from Costa Rica.
Question: Did they act together?
Choices:

1. Yes
2. No
3. It cannot be said
 The correct answer is:","[('Yes', 0.2831884026527405), ('No', 0.46689873933792114), ('It cannot be said', 0.24991290271282196)]","[('Yes', 0.03298446908593178), ('No', 0.0030680338386446238), ('It cannot be said', 0.9639475345611572)]",No,It cannot be said
73,Bergen and Hudson nixed the plan last month.,Did they act together?,"['Yes', 'No', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Bergen and Hudson nixed the plan last month.
Question: Did they act together?
Choices:

1. Yes
2. No
3. It cannot be said
 The correct answer is:","[('Yes', 0.20908358693122864), ('No', 0.5683481097221375), ('It cannot be said', 0.2225683182477951)]","[('Yes', 0.041889920830726624), ('No', 0.004699918441474438), ('It cannot be said', 0.9534101486206055)]",No,It cannot be said
74,Chloe and Liam cooked a delicious meal.,Did they act together?,"['Yes', 'No', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Chloe and Liam cooked a delicious meal.
Question: Did they act together?
Choices:

1. Yes
2. No
3. It cannot be said
 The correct answer is:","[('Yes', 0.29582852125167847), ('No', 0.4877387583255768), ('It cannot be said', 0.21643276512622833)]","[('Yes', 0.011667613871395588), ('No', 0.0016808791551738977), ('It cannot be said', 0.9866515398025513)]",No,It cannot be said
75,Lily and Ethan sailed across the open sea.,Did they act together?,"['Yes', 'No', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Lily and Ethan sailed across the open sea.
Question: Did they act together?
Choices:

1. Yes
2. No
3. It cannot be said
 The correct answer is:","[('Yes', 0.25070589780807495), ('No', 0.4985882043838501), ('It cannot be said', 0.25070589780807495)]","[('Yes', 0.02030905708670616), ('No', 0.001145758549682796), ('It cannot be said', 0.9785451889038086)]",No,It cannot be said
76,Sophia and Mason captured breathtaking photographs of wildlife,Did they act together?,"['It cannot be said', 'No', 'Yes']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Sophia and Mason captured breathtaking photographs of wildlife
Question: Did they act together?
Choices:

1. It cannot be said
2. No
3. Yes
 The correct answer is:","[('It cannot be said', 0.1434929072856903), ('No', 0.3233662545681), ('Yes', 0.5331408381462097)]","[('It cannot be said', 0.9783438444137573), ('No', 0.004822831135243177), ('Yes', 0.016833335161209106)]",Yes,It cannot be said
77,Lily and Ethan devoured a delicious meal at their favorite restaurant.,Did they act together?,"['Yes', 'No', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Lily and Ethan devoured a delicious meal at their favorite restaurant.
Question: Did they act together?
Choices:

1. Yes
2. No
3. It cannot be said
 The correct answer is:","[('Yes', 0.30923447012901306), ('No', 0.4499334990978241), ('It cannot be said', 0.24083206057548523)]","[('Yes', 0.016822533681988716), ('No', 0.00546147720888257), ('It cannot be said', 0.9777160286903381)]",No,It cannot be said
78,Grace and Henry watched a captivating movie at the cinema.,Did they act together?,"['Yes', 'No', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Grace and Henry watched a captivating movie at the cinema.
Question: Did they act together?
Choices:

1. Yes
2. No
3. It cannot be said
 The correct answer is:","[('Yes', 0.2790113687515259), ('No', 0.4896801710128784), ('It cannot be said', 0.23130853474140167)]","[('Yes', 0.007568978704512119), ('No', 0.0010904147056862712), ('It cannot be said', 0.9913405776023865)]",No,It cannot be said
79,Emily and Samuel immersed themselves in studying ancient history and archaeology.,Did they act together?,"['No', 'Yes', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Emily and Samuel immersed themselves in studying ancient history and archaeology.
Question: Did they act together?
Choices:

1. No
2. Yes
3. It cannot be said
 The correct answer is:","[('No', 0.19437435269355774), ('Yes', 0.5987151861190796), ('It cannot be said', 0.20691044628620148)]","[('No', 0.0027769687585532665), ('Yes', 0.008553666062653065), ('It cannot be said', 0.9886693358421326)]",Yes,It cannot be said
80,"Lily and Oliver ventured on a culinary tour, tasting diverse cuisines along the way.",Did they act together?,"['Yes', 'No', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Lily and Oliver ventured on a culinary tour, tasting diverse cuisines along the way.
Question: Did they act together?
Choices:

1. Yes
2. No
3. It cannot be said
 The correct answer is:","[('Yes', 0.2960455119609833), ('No', 0.458524227142334), ('It cannot be said', 0.2454303503036499)]","[('Yes', 0.019060691818594933), ('No', 0.003312251763418317), ('It cannot be said', 0.9776270389556885)]",No,It cannot be said
81,Ava and Benjamin drank freshly brewed coffee,Did they act together?,"['It cannot be said', 'No', 'Yes']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Ava and Benjamin drank freshly brewed coffee
Question: Did they act together?
Choices:

1. It cannot be said
2. No
3. Yes
 The correct answer is:","[('It cannot be said', 0.12445119023323059), ('No', 0.3177972733974457), ('Yes', 0.5577515363693237)]","[('It cannot be said', 0.9898518919944763), ('No', 0.001584161538630724), ('Yes', 0.008563896641135216)]",Yes,It cannot be said
82,"Seven months later, T-Boz and Chilli released the group's fourth album 3D",Did they act together?,"['Yes', 'No', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Seven months later, T-Boz and Chilli released the group's fourth album 3D
Question: Did they act together?
Choices:

1. Yes
2. No
3. It cannot be said
 The correct answer is:","[('Yes', 0.27675342559814453), ('No', 0.4286440908908844), ('It cannot be said', 0.29460248351097107)]","[('Yes', 0.02216131053864956), ('No', 0.005603257101029158), ('It cannot be said', 0.9722354412078857)]",No,It cannot be said
83,"Philips and Jeremy Garelick rewrote the script to include a tiger as well as a subplot involving a baby and a police cruiser, and also including boxer Mike Tyson .",Did they act together?,"['Yes', 'No', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Philips and Jeremy Garelick rewrote the script to include a tiger as well as a subplot involving a baby and a police cruiser, and also including boxer Mike Tyson .
Question: Did they act together?
Choices:

1. Yes
2. No
3. It cannot be said
 The correct answer is:","[('Yes', 0.24083206057548523), ('No', 0.4499334990978241), ('It cannot be said', 0.30923447012901306)]","[('Yes', 0.10557276755571365), ('No', 0.06403312087059021), ('It cannot be said', 0.8303940892219543)]",No,It cannot be said
84,Italy and Bulgaria went to war in 1915.,Did they act together?,"['No', 'Yes', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Italy and Bulgaria went to war in 1915.
Question: Did they act together?
Choices:

1. No
2. Yes
3. It cannot be said
 The correct answer is:","[('No', 0.24289530515670776), ('Yes', 0.5142093896865845), ('It cannot be said', 0.24289530515670776)]","[('No', 0.004817600827664137), ('Yes', 0.017899559810757637), ('It cannot be said', 0.9772828221321106)]",Yes,It cannot be said
85,"From the late 15th century, Europeans and Arabs took slaves from West , Central and Southeast Africa overseas in the African slave trade.",Did they act together?,"['No', 'Yes', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: From the late 15th century, Europeans and Arabs took slaves from West , Central and Southeast Africa overseas in the African slave trade.
Question: Did they act together?
Choices:

1. No
2. Yes
3. It cannot be said
 The correct answer is:","[('No', 0.24289530515670776), ('Yes', 0.5142093896865845), ('It cannot be said', 0.24289530515670776)]","[('No', 0.004001567605882883), ('Yes', 0.01684722676873207), ('It cannot be said', 0.9791512489318848)]",Yes,It cannot be said
86,"Le Pera and Gardel died in an airplane crash in Medellín , (Colombia), on June 24, 1935.",Did they die together?,"['Yes', 'No', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Le Pera and Gardel died in an airplane crash in Medellín , (Colombia), on June 24, 1935.
Question: Did they die together?
Choices:

1. Yes
2. No
3. It cannot be said
 The correct answer is:","[('Yes', 0.2618110477924347), ('No', 0.45949265360832214), ('It cannot be said', 0.2786963880062103)]","[('Yes', 0.21174681186676025), ('No', 0.09396207332611084), ('It cannot be said', 0.6942910552024841)]",No,It cannot be said
87,"In 60 BC, Caesar, Crassus and Pompey formed a political alliance that was to dominate Roman politics for several years.",Did they act together?,"['Yes', 'No', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: In 60 BC, Caesar, Crassus and Pompey formed a political alliance that was to dominate Roman politics for several years.
Question: Did they act together?
Choices:

1. Yes
2. No
3. It cannot be said
 The correct answer is:","[('Yes', 0.31022772192955017), ('No', 0.39834028482437134), ('It cannot be said', 0.2914319932460785)]","[('Yes', 0.05942612886428833), ('No', 0.010992729105055332), ('It cannot be said', 0.9295811057090759)]",No,It cannot be said
88,Myers and Briggs extrapolated their MBTI theory from Jung's writings in his book Psychological Types.,Did they act together?,"['Yes', 'No', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Myers and Briggs extrapolated their MBTI theory from Jung's writings in his book Psychological Types.
Question: Did they act together?
Choices:

1. Yes
2. No
3. It cannot be said
 The correct answer is:","[('Yes', 0.1933012306690216), ('No', 0.5254471898078918), ('It cannot be said', 0.2812516391277313)]","[('Yes', 0.044314607977867126), ('No', 0.008197377435863018), ('It cannot be said', 0.947488009929657)]",No,It cannot be said
89,"Maine and Nebraska use the congressional district method, selecting one elector within each congressional district by popular vote and selecting the remaining two electors by a statewide popular vote.",Do they act together?,"['No', 'Yes', 'It cannot be said']",,[1],"Task: I'll give you a target sentence and three options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Target sentence: Maine and Nebraska use the congressional district method, selecting one elector within each congressional district by popular vote and selecting the remaining two electors by a statewide popular vote.
Question: Do they act together?
Choices:

1. No
2. Yes
3. It cannot be said
 The correct answer is:","[('No', 0.2914324402809143), ('Yes', 0.4513793885707855), ('It cannot be said', 0.25718823075294495)]","[('No', 0.0020236815325915813), ('Yes', 0.013196061365306377), ('It cannot be said', 0.9847801923751831)]",Yes,It cannot be said
