ID,Target,Context utterance,Question,Choices,Human answer,Correct Answer,Prompt,choices_prob,sentences_prob,choice_win,Generated Text
36,He looked at the oak.,The plank was likely to get damaged easily. He had to do an excellent repair job,Who looked at the oak?,"['The carpenter', 'The park ranger', 'The tattoo artist', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: The plank was likely to get damaged easily. He had to do an excellent repair job
Target sentence: He looked at the oak.
Question: Who looked at the oak?
Choices:

1. The carpenter
2. The park ranger
3. The tattoo artist
4. It cannot be said
 The correct answer is:","[('The carpenter', 0.3504061698913574), ('The park ranger', 0.3730054199695587), ('The tattoo artist', 0.17619527876377106), ('It cannot be said', 0.10039304941892624)]","[('The carpenter', 0.6911637783050537), ('The park ranger', 0.18030084669589996), ('The tattoo artist', 0.0485273152589798), ('It cannot be said', 0.08000801503658295)]",The park ranger,The carpenter
37,He looked at the oak.,The edges were blurred and it should have covered the tree tattoo completely,Who looked at the oak?,"['The tattoo artist', 'The park ranger', 'The carpenter', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: The edges were blurred and it should have covered the tree tattoo completely
Target sentence: He looked at the oak.
Question: Who looked at the oak?
Choices:

1. The tattoo artist
2. The park ranger
3. The carpenter
4. It cannot be said
 The correct answer is:","[('The tattoo artist', 0.2686331570148468), ('The park ranger', 0.3240334689617157), ('The carpenter', 0.22270473837852478), ('It cannot be said', 0.1846287101507187)]","[('The tattoo artist', 0.3893372714519501), ('The park ranger', 0.13882248103618622), ('The carpenter', 0.13882248103618622), ('It cannot be said', 0.3330177962779999)]",The park ranger,The tattoo artist
38,She brooded about the differences among the classes.,The homework inequalities were greater than she had predicted.,Who brooded about the differences among the classes?,"['The sophomore', 'The sociologist', 'The biologist', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: The homework inequalities were greater than she had predicted.
Target sentence: She brooded about the differences among the classes.
Question: Who brooded about the differences among the classes?
Choices:

1. The sophomore
2. The sociologist
3. The biologist
4. It cannot be said
 The correct answer is:","[('The sophomore', 0.1827472299337387), ('The sociologist', 0.4118272364139557), ('The biologist', 0.30129924416542053), ('It cannot be said', 0.1041262298822403)]","[('The sophomore', 0.04655943065881729), ('The sociologist', 0.12656165659427643), ('The biologist', 0.0015931761590763927), ('It cannot be said', 0.8252856731414795)]",The sociologist,It cannot be said
39,She brooded about the differences among the classes.,The economic inequalities were greater than she had predicted.,Who brooded about the differences among the classes?,"['The sociologist', 'The sophomore', 'The biologist', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: The economic inequalities were greater than she had predicted.
Target sentence: She brooded about the differences among the classes.
Question: Who brooded about the differences among the classes?
Choices:

1. The sociologist
2. The sophomore
3. The biologist
4. It cannot be said
 The correct answer is:","[('The sociologist', 0.498854398727417), ('The sophomore', 0.32208460569381714), ('The biologist', 0.14292418956756592), ('It cannot be said', 0.036136891692876816)]","[('The sociologist', 0.3599790334701538), ('The sophomore', 0.007018472999334335), ('The biologist', 0.0012196277966722846), ('It cannot be said', 0.6317828297615051)]",The sociologist,It cannot be said
40,She brooded about the differences among the classes.,She was reflecting on the various taxonomic classifications of organisms and how they've evolved over time.,Who brooded about the differences among the classes?,"['The biologist', 'The sophomore', 'The sociologist', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: She was reflecting on the various taxonomic classifications of organisms and how they've evolved over time.
Target sentence: She brooded about the differences among the classes.
Question: Who brooded about the differences among the classes?
Choices:

1. The biologist
2. The sophomore
3. The sociologist
4. It cannot be said
 The correct answer is:","[('The biologist', 0.6519324779510498), ('The sophomore', 0.19882817566394806), ('The sociologist', 0.12059538811445236), ('It cannot be said', 0.028643913567066193)]","[('The biologist', 0.03642379119992256), ('The sophomore', 0.0071722702123224735), ('The sociologist', 0.269137442111969), ('It cannot be said', 0.6872665286064148)]",The biologist,It cannot be said
41,He condidered the coat,"The sweater matched almost perfectly, so decided he would buy it.",Who was considering the coat?,"['The customer', 'The painter', 'The veterinarian', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: The sweater matched almost perfectly, so decided he would buy it.
Target sentence: He condidered the coat
Question: Who was considering the coat?
Choices:

1. The customer
2. The painter
3. The veterinarian
4. It cannot be said
 The correct answer is:","[('The customer', 0.26686158776283264), ('The painter', 0.3023937940597534), ('The veterinarian', 0.23550452291965485), ('It cannot be said', 0.1952401101589203)]","[('The customer', 0.5089805126190186), ('The painter', 0.01796920970082283), ('The veterinarian', 0.009618224576115608), ('It cannot be said', 0.46343204379081726)]",The painter,The customer
42,He condidered the coat,The brushstrokes matched almost perfectly.,Who was considering the coat?,"['The painter', 'The customer', 'The veterinarian', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: The brushstrokes matched almost perfectly.
Target sentence: He condidered the coat
Question: Who was considering the coat?
Choices:

1. The painter
2. The customer
3. The veterinarian
4. It cannot be said
 The correct answer is:","[('The painter', 0.2375221848487854), ('The customer', 0.32465431094169617), ('The veterinarian', 0.2528410255908966), ('It cannot be said', 0.18498246371746063)]","[('The painter', 0.2037656009197235), ('The customer', 0.4450649917125702), ('The veterinarian', 0.07265486568212509), ('It cannot be said', 0.278514564037323)]",The customer,The customer
43,He condidered the coat,He was carefully examining its texture and sheen to assess the animal's overall health and well-being.,Who was considering the coat?,"['The veterinarian', 'The customer', 'The painter', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: He was carefully examining its texture and sheen to assess the animal's overall health and well-being.
Target sentence: He condidered the coat
Question: Who was considering the coat?
Choices:

1. The veterinarian
2. The customer
3. The painter
4. It cannot be said
 The correct answer is:","[('The veterinarian', 0.6742953062057495), ('The customer', 0.17048855125904083), ('The painter', 0.11717495322227478), ('It cannot be said', 0.0380411371588707)]","[('The veterinarian', 0.11135352402925491), ('The customer', 0.03615119680762291), ('The painter', 0.0035794535651803017), ('It cannot be said', 0.8489158749580383)]",The veterinarian,It cannot be said
44,He finally found the cup.,"Its intricate designs and symbols needed to be documented, in hopes of deciphering the story it contained and sharing its historical meaning with the world.",Who found the cup?,"['The archeologist', 'The husband', 'The champion', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: Its intricate designs and symbols needed to be documented, in hopes of deciphering the story it contained and sharing its historical meaning with the world.
Target sentence: He finally found the cup.
Question: Who found the cup?
Choices:

1. The archeologist
2. The husband
3. The champion
4. It cannot be said
 The correct answer is:","[('The archeologist', 0.379896879196167), ('The husband', 0.24527986347675323), ('The champion', 0.21645872294902802), ('It cannot be said', 0.15836457908153534)]","[('The archeologist', 0.927587628364563), ('The husband', 0.0003872585657518357), ('The champion', 0.0004972498281858861), ('It cannot be said', 0.0715278759598732)]",The archeologist,The archeologist
45,He finally found the cup.,He could finally bring coffee to his wife.,Who found the cup?,"['The husband', 'The archeologist', 'The champion', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: He could finally bring coffee to his wife.
Target sentence: He finally found the cup.
Question: Who found the cup?
Choices:

1. The husband
2. The archeologist
3. The champion
4. It cannot be said
 The correct answer is:","[('The husband', 0.4101046323776245), ('The archeologist', 0.2195132076740265), ('The champion', 0.2195132076740265), ('It cannot be said', 0.15086907148361206)]","[('The husband', 0.08986929804086685), ('The archeologist', 0.7068767547607422), ('The champion', 0.0007304140599444509), ('It cannot be said', 0.2025235891342163)]",The husband,The archeologist
45,He finally found the cup.,It was passed from one champion to another every year.,Who found the cup?,"['The champion', 'The husband', 'The archeologist', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: It was passed from one champion to another every year.
Target sentence: He finally found the cup.
Question: Who found the cup?
Choices:

1. The champion
2. The husband
3. The archeologist
4. It cannot be said
 The correct answer is:","[('The champion', 0.1925688534975052), ('The husband', 0.1925688534975052), ('The archeologist', 0.43396061658859253), ('It cannot be said', 0.1809016913175583)]","[('The champion', 0.008364193141460419), ('The husband', 0.00225119199603796), ('The archeologist', 0.5863752365112305), ('It cannot be said', 0.40300941467285156)]",The archeologist,The archeologist
46,She presented the model to the client.,"It conveyed the grandeur and functionality of the proposed structure, inspiring confidence in the project's success.",Who presented the model?,"['The architect', 'The mathematician', 'The car seller', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: It conveyed the grandeur and functionality of the proposed structure, inspiring confidence in the project's success.
Target sentence: She presented the model to the client.
Question: Who presented the model?
Choices:

1. The architect
2. The mathematician
3. The car seller
4. It cannot be said
 The correct answer is:","[('The architect', 0.42453867197036743), ('The mathematician', 0.39881718158721924), ('The car seller', 0.06930403411388397), ('It cannot be said', 0.10734018683433533)]","[('The architect', 0.5027284026145935), ('The mathematician', 0.04977685213088989), ('The car seller', 0.0038383787032216787), ('It cannot be said', 0.4436562657356262)]",The architect,The architect
47,She presented the model to the audience.," It solved a complex problem in number theory, unveiling a new theorem that would reshape the field.",Who presented the model?,"['The mathematician', 'The architect', 'The car seller', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance:  It solved a complex problem in number theory, unveiling a new theorem that would reshape the field.
Target sentence: She presented the model to the audience.
Question: Who presented the model?
Choices:

1. The mathematician
2. The architect
3. The car seller
4. It cannot be said
 The correct answer is:","[('The mathematician', 0.5635699033737183), ('The architect', 0.18296435475349426), ('The car seller', 0.09200026094913483), ('It cannot be said', 0.16146548092365265)]","[('The mathematician', 0.7045360207557678), ('The architect', 0.005907894112169743), ('The car seller', 0.004897816106677055), ('It cannot be said', 0.284658282995224)]",The mathematician,The mathematician
48,She presented the new model to the client.,The car had just come on the market and he hoped to sell it immediately,Who presented the model?,"['The car seller', 'The architect', 'The mathematician', 'It cannot be said']",,[1],"Task: I'll give you a context utterance and a target sentence and four options. Then, a question about the target sentence. You must choose the most probable answer. Answer with the number correspondent to the right option. Context utterance: The car had just come on the market and he hoped to sell it immediately
Target sentence: She presented the new model to the client.
Question: Who presented the model?
Choices:

1. The car seller
2. The architect
3. The mathematician
4. It cannot be said
 The correct answer is:","[('The car seller', 0.5311383605003357), ('The architect', 0.2508919835090637), ('The mathematician', 0.1619880497455597), ('It cannot be said', 0.05598156899213791)]","[('The car seller', 0.44855383038520813), ('The architect', 0.0035334641579538584), ('The mathematician', 0.05527267977595329), ('It cannot be said', 0.49264001846313477)]",The car seller,It cannot be said
